country,article,n,sp,asym_sp,sym_sp,asym_sn,sn,sym_sn,rho_c,psi_c,phi_c,alpha,alpha_l,alpha_u,beta,beta_l,beta_u,start_date,end_date,recall_start_date,recall_period,mean_median_age,psi_c_l,psi_c_u,rho_c_l,rho_c_u,phi_c_l,phi_c_u,alpha_a,alpha_b,beta_a,beta_b,num_sym
Brazil,Menezes et al.,31869,849,103,746,13090,31020,17930,0.027,0.121,0.578,0.848,0.814,0.878,1.000,0.978,0.997,"Jun 21, 20","Jun 24, 20",03/01/20,12,43.3,0.071,0.198,0.025,0.029,0.572,0.583,100,17.3,68.3,0.2,11
Brazil,Maura da Silva et al.,3156,1167,320,847,1104,1989,885,0.37,0.274,0.445,0.892,0.791,0.956,0.997,0.992,1.000,"Jul 27, 20","Aug 8, 20",01/30/20,NA,44.4,0.228,0.325,0.353,0.387,0.423,0.467,47.9,6.1,100,0.1,8
Brazil,Terças-Trettel,4206,526,247,279,2893,3680,787,0.125,0.47,0.214,0.974,0.958,0.990,0.985,0.976,0.991,"Sep 16, 20","Oct 15, 20",03/01/20,NA,46.2,0.409,0.532,0.115,0.135,0.201,0.228,100,1.8,100,0.6,6
Brazil,Moura de Albuquerque et al.,2447,276,103,173,1506,2171,665,0.113,0.373,0.306,0.848,0.814,0.878,1.000,0.978,0.997,"Aug 11, 20","Aug 13, 20",NA,NA,47.3,0.286,0.469,0.101,0.126,0.287,0.326,100,17.3,68.3,0.2,NA
Brazil,Moura de Albuquerque et al.,2474,243,102,141,1606,2231,625,0.098,0.422,0.28,0.848,0.814,0.878,1.000,0.978,0.997,"Aug 11, 20","Aug 13, 20",NA,NA,47.1,0.331,0.519,0.087,0.11,0.262,0.299,100,17.3,68.3,0.2,NA
Brazil,Moura de Albuquerque et al.,2012,264,101,163,1250,1748,498,0.131,0.384,0.285,0.848,0.814,0.878,1.000,0.978,0.997,"Aug 11, 20","Aug 13, 20",NA,NA,49.9,0.295,0.481,0.117,0.146,0.264,0.307,100,17.3,68.3,0.2,NA
Cameroon,Nwosu et al.,971,302,194,108,482,669,187,0.311,0.642,0.28,0.915,0.832,0.965,0.935,0.897,0.962,"Oct 14, 20","Nov 26, 20",03/01/20,NA,26,0.572,0.706,0.283,0.341,0.247,0.315,61.8,6.1,100,6.6,11
Chile,Vial et al.,2493,242,89,153,1752,2251,499,0.097,0.368,0.222,0.990,0.970,1.000,0.998,0.997,0.999,"Sep 25, 20","Nov 25, 20",NA,NA,41.6,0.275,0.472,0.086,0.109,0.205,0.24,100,0.8,100,0.1,9
China,Li et al,34857,427,326,101,33303,34430,1127,0.012,0.763,0.033,0.958,0.839,0.999,1.000,0.977,1.000,"Apr 10, 20","Apr 18, 20",12/01/19,NA,41.9,0.714,0.806,0.011,0.013,0.031,0.035,25.4,1.4,42.5,0.1,3
Colombia,Garay et al.,2564,1045,377,668,850,1519,669,0.408,0.361,0.44,0.983,0.939,0.995,0.995,0.976,0.999,"Jul 15, 20","Nov 15, 20",NA,3 months,42,0.314,0.411,0.389,0.427,0.415,0.465,85.7,1.9,100,0.5,8
Colombia,Serrano-Coll et al.,572,329,219,110,192,243,51,0.575,0.666,0.21,0.983,0.939,0.995,0.992,0.971,0.998,"Dec 1, 20","Dec 31, 20",NA,NA,35.5,0.601,0.725,0.534,0.615,0.164,0.266,85.7,1.9,100,0.7,8
Denmark,Espenhain et al,13095,369,112,257,7232,12726,5494,0.028,0.304,0.432,0.967,0.924,0.986,0.995,0.987,0.998,"Aug 15, 20","Dec 11, 20","1 Feb, 2020",NA,51.6,0.226,0.395,0.025,0.031,0.423,0.441,100,3.7,75.2,0.1,10
France,Carrat et al.,14628,983,188,795,4925,13645,8720,0.067,0.191,0.639,0.870,0.804,0.920,0.975,0.958,0.986,"May 4, 20","Jun 23, 20",NA,2 weeks,57.1,0.141,0.253,0.063,0.071,0.631,0.647,100,15.2,100,1.8,5
France,Rouquette et al.,45260,4348,2570,1778,37312,40912,3600,0.096,0.591,0.088,1.000,0.916,1.000,0.977,0.919,0.996,"May 2, 20","Nov 30, 20",02/01/20,NA,51.1,0.572,0.61,0.093,0.099,0.085,0.091,11.6,0.1,61.5,1.8,5
